Session_id,User_id,Product_id,Interaction_type,Date_and_time,Duration,Ratings,Comments
1,1,1,Purchase,2024-03-01 09:30:00,120,5,"Espresso's intense and robust flavor is exactly what I need to start my day."
2,2,27,View,2024-03-01 14:45:00,180,,,null
3,3,68,Purchase,2024-03-02 18:00:00,180,5,"The 3 Cordilleras Blanca is light and has a smooth finish, perfect for a quiet evening."
4,4,12,View,2024-03-02 10:15:00,60,,,null
5,5,60,Purchase,2024-03-03 12:30:00,120,5,"The French fries were crispy and perfectly salted. An excellent side for any meal."
6,1,58,Purchase,2024-03-03 13:00:00,180,5,"Buffalo Wings are incredibly tasty, with just the right level of spice. Will definitely order again."
7,2,31,View,2024-03-04 15:30:00,240,,,null
8,3,90,Purchase,2024-03-04 17:45:00,180,5,"Delirium Tremens has a complexity and body that never disappoint. It's one of my favorite beers."
9,4,7,View,2024-03-05 09:00:00,120,,,null
10,5,65,Purchase,2024-03-05 19:00:00,240,5,"The Lemon Tart is the perfect balance between sweet and tart. The crust is crispy and complements the filling wonderfully."
11,1,4,View,2024-03-06 08:45:00,120,,,null
12,2,35,Purchase,2024-03-06 14:00:00,180,4,"The Passion Fruit Smoothie has an intense tropical flavor that's refreshing. Ideal for hot days."
13,3,74,Purchase,2024-03-07 18:30:00,240,5,"The BBC Monserrate is smooth and has a pleasant taste that goes well with almost everything."
14,4,9,Purchase,2024-03-07 10:00:00,60,5,"The Oreo Moccaccino is my favorite sweet sin. The combination of coffee, chocolate, and Oreo is irresistible."
15,5,49,Purchase,2024-03-08 13:15:00,180,5,"Chicken Wings are juicy on the inside and crispy on the outside. Perfect with any sauce."
16,1,62,Purchase,2024-03-08 20:00:00,120,5,"Jalapeño Poppers are the perfect snack for those who love a spicy kick. The cheese perfectly softens the jalapeño's punch."
17,2,26,View,2024-03-09 15:20:00,240,,,null
18,3,71,Purchase,2024-03-09 17:00:00,180,4,"The 3 Cordilleras Rosada is interesting, with a fruity twist I didn't expect. Good for a change."
19,4,6,View,2024-03-10 09:30:00,120,,,null
20,5,63,Purchase,2024-03-10 20:30:00,240,5,"Pretzel Bites are addictive. The crispy exterior with a touch of salt is the perfect beer accompaniment."
21,101,3,Purchase,2024-03-11 08:45:00,90,4,"Country Coffee was comforting, though a tad sweet for my taste."
22,102,15,View,2024-03-11 10:30:00,75,,,null
